ap	ml	si
87.634483	84.110345	61.731034
86	83.322581	62.092166
85.978723	83.62233999999999	61.329787
87.439252	83.971963	61.102804
87.047619	84.535714	60.809524
84.909091	82.76363600000001	61.490909
85.225641	82.482051	61.548718
85.27642299999999	83.666667	61.727642
87.189781	83.854015	60.49635
86.720721	82.90991	60.216216
85.724638	83.362319	60.391304
86.666667	82.030303	58.242424
86.566176	83.82352899999999	60.698529
89.058824	82.044118	59.573529
88.42156900000001	84.892157	61.862745
87.40625	84.239583	60.739583
87.306533	82.43216099999999	60.869347
86.564246	83.675978	61.877095
86.96610200000001	84.37288100000001	59.966102
86.65625	81.677083	63.604167
85.82142899999999	83.65476200000001	60.958333
87.82352899999999	84.039216	60.156863
85.339286	84.22767899999999	61.071429
86.909091	82.772727	58.613636
88.602564	85.102564	62.961538
87.255319	83.574468	59.191489
85.86	83.855	60.795
89.962963	82.641975	60.283951
87.22973	83.797297	60.067568
86.530612	83.27551	60.877551
86.356522	83.76521700000001	60.730435
86.790476	84.009524	60.714286
85.129032	83.827957	62.016129
88.113636	85.227273	62.488636
87.347826	85	60.456522
86.392157	85.941176	61.27451
86.968504	83.551181	60.204724
86.714286	86.39285700000001	61.571429
88.71929799999999	84.45614	61.035088
87.25862100000001	85.13793099999999	60.827586
86.97619	84.75	61.083333
87.264286	82.34999999999999	59.928571
85.97435900000001	83.521368	59.495726
85.870504	83.820144	60.510791
87.09523799999999	85.083333	62.142857
87.070796	84.955752	63.469027
84.81208100000001	83.93959700000001	60.872483
85.094891	84.007299	60.489051
85.830389	83.618375	60.335689
85.676768	84.207071	60.535354
88.337838	85.081081	62.594595
86.40000000000001	83.657143	60.304762
86.671053	84.85526299999999	60.802632
87.062016	85.01550400000001	61.937984
86.68292700000001	83.813008	61.056911
88.088235	84.52941199999999	60.264706
86.5	86.60526299999999	61.263158
88.04902	85.42156900000001	63.04902
87.155556	82.488889	58.488889
86.57692299999999	85.057692	60.038462
86.80188699999999	83.622642	60.849057
86.708333	83.541667	59.708333
88.344371	81.821192	60.503311
85.993548	82.819355	60.4
86.72580600000001	83.653226	60.637097
87.328767	83.780822	60.287671
86.208	84.40000000000001	60.72
85.87218	83.85714299999999	63.052632
87.328947	84.565789	60.960526
88.37288100000001	83.610169	60.220339
87.06293700000001	84.013986	60.34965
86.3	85.02	60.82
87.590909	85.204545	61.522727
86.518987	84.63291099999999	61.107595
87.192308	85.551282	61.897436
86.35714299999999	83.12857099999999	59.271429
87.175	83.875	59.1
87.211111	84.177778	60.555556
86.274725	82.92307700000001	59.758242
86.209677	83.709677	59.66129
86.333333	82.461538	58.128205
86.028571	82.2	58.571429
85.651584	84.06787300000001	61.511312
88.988636	81.647727	59.329545
86.310345	84.706897	60.206897
86.82692299999999	85.384615	60.75
86.93181800000001	84.5	59.840909
87.461538	84.04395599999999	60.692308
85.397959	83.576531	62.132653
87.363636	85.151515	61.651515
86.054545	84.74545500000001	60.872727
87.55101999999999	84.714286	60.530612
85.528634	84.171806	60.969163
86.757895	83.663158	59.915789
86.25	82.289474	59.118421
85.446281	83.190083	61.524793
87.32075500000001	84.30188699999999	59.962264
86.92	84.08	60.88
86.80531000000001	84.566372	60.477876
87.195122	84.560976	60.121951
