ap	ml	si
87.472656	62.28125	62.539062
86.99107100000001	62.991071	60.973214
86.140244	63.271341	62.14939
90.47058800000001	63.270588	61.352941
88.11111099999999	62.391813	62.22807
87.131783	62.868217	60.891473
86.505576	63.531599	62.174721
84.28813599999999	65.03389799999999	65.084746
88.875	62.211538	62.625
86.673913	62.992754	61.050725
86.06818199999999	63.013636	61.790909
87.066667	64.333333	58.933333
87.855932	62.288136	61.822034
87.54838700000001	63.435484	59.129032
88.72049699999999	61.590062	63.267081
87.869159	61.53271	62.663551
87.25641	63.615385	59.589744
87.87179500000001	62.17094	61.974359
86.79245299999999	63.691824	61.226415
88.809524	62.31746	64
87.961832	63.038168	61.396947
88.317757	62.448598	61.261682
86.806034	62.650862	62.607759
87.85714299999999	62.482143	61.303571
87.966216	62.033784	62.614865
89	61.875	61.9375
87.45999999999999	62.59	61.08
92.01639299999999	63.590164	60.836066
86.837838	63.337838	60.310811
87.393443	63.442623	59.295082
88.13122199999999	62.049774	62.710407
88.960396	61.980198	62.267327
85.122951	64.82786900000001	63.483607
88.195652	62.255435	62.13587
90.073171	62.95122	61.02439
87.777778	61.851852	62.092593
87.91284400000001	62.692661	61.752294
87.285714	61.38961	62.435065
90.257143	62.171429	62.771429
86	63.13198	64.21319800000001
88.49275400000001	61.666667	62.246377
89.01388900000001	61.513889	62.347222
87.947917	61.885417	62.125
86.520661	63.826446	60.669421
87.443425	63.253823	62.669725
85.937107	61.232704	62.36478
86.08	63.136	62.864
85.72435900000001	62.557692	61.74359
85.829412	61.905882	62.911765
88.125	61.578125	61.453125
88.715789	60.831579	63.810526
88.868421	63.315789	60.631579
86.802198	62.659341	62.285714
87.257576	61.828283	62.429293
88.06818199999999	62.409091	60.772727
86.808081	63.777778	60.909091
86.873563	62.149425	60.586207
87.82352899999999	60.539216	63.833333
89.70999999999999	62.07	62.79
88.086538	62.326923	61.278846
88.818898	62.692913	61.362205
87.341463	62.835366	61.378049
89.411765	64.862745	59
87.413793	63.758621	59.482759
87.56383	63.510638	60.053191
88.640523	62.856209	61.431373
87.846667	62.446667	61.74
88.597826	60.369565	64.86956499999999
88.892308	62.230769	61.353846
88.944954	61.293578	63.06422
86.85209	62.826367	62.385852
86.850746	60.641791	63.492537
86.555556	63.107639	63.465278
88.314685	62.188811	62.146853
88.72483200000001	61.812081	62.013423
88.14094	62.610738	62.080537
87.246753	62.935065	60.103896
87.92307700000001	61.903846	61.980769
86.683544	63.113924	60.35443
87.77305	62.730496	60.978723
87.75	63.596154	59.423077
87.525862	63.931034	59.827586
87.12987	60.493506	63.623377
89.008403	63.243697	61.42437
88.723404	61.574468	61.510638
87.91034500000001	62.275862	61.675862
88.36129	61.380645	64.07741900000001
88.040541	62.824324	60.554054
86.707483	62.673469	63.717687
88.203704	61.981481	61.351852
87.87719300000001	61.192982	62.491228
86.410526	62.168421	62.652632
87.47945199999999	61.821918	62.958904
87.27559100000001	62.448819	61.755906
87.652174	63.195652	59.608696
85.917749	62.844156	62.277056
87.591837	62.204082	61.326531
88.701031	61.371134	62.278351
86.776786	62.383929	61.125
89.35714299999999	63.107143	59.714286
